序号,学校,类别,地址,邮编,电话
51,上海市浦东新区竹园幼儿园,公办幼儿园,潍坊路355弄22号,200122,58207072
52,上海市浦东新区崂山东路幼儿园,公办幼儿园,崂山东路644弄32号,200122,68671977
53,上海市浦东新区新苗幼儿园,公办幼儿园,浦电路29弄9号,200122,50810131
54,上海市浦东新区童瑶幼儿园,公办幼儿园,"东建路680弄30号
浦建路1578弄69号
锦安东路87号",201204,38763880
55,上海市浦东新区牡丹幼儿园,公办幼儿园,"牡丹路259弄35号
樱花路670弄",201204,50453269
56,上海市浦东新区华林幼儿园,公办幼儿园,"芳华路281号
严镇路96弄2号
芳波路151号",201204,68945050
57,上海市浦东新区张江经典幼儿园,公办幼儿园,"香楠路428弄1号
秋月路89号
建中路466号",201203,"61044516
/
50790322"
58,上海市浦东新区广兰幼儿园,公办幼儿园,"广兰路248弄16号
香楠路200弄36号",201203,58956800
59,上海市浦东新区中市街幼儿园,公办幼儿园,"场署街1号
西泥路112号
石皮路54弄12号
新德西路216号",201200,58982463
60,上海市浦东新区黄楼幼儿园,公办幼儿园,"栏学路495号
航城三路573弄11号",201202,38924012
61,上海市浦东新区晨阳幼儿园,公办幼儿园,"江镇江明路205号
新建路48号",201202,58935008
62,上海市浦东新区东港幼儿园,公办幼儿园,"航城路401弄46号
水闸南路176号",201202,"68965683
50530069"
63,上海市浦东新区济阳一村幼儿园,公办幼儿园,"（总部校区）德州路420弄21号
（德三校区）成山路24弄67号
（济二校区）德州路421弄32号",200126,"58743563
58860918
58720176"
64,上海市浦东新区上南九村幼儿园,公办幼儿园,"成山路248弄30号
（七村）洪山路237弄13号",200126,"68630420
58742377"
65,上海市浦东新区春之声幼儿园,公办幼儿园,书房路411号,200123,61343368
66,上海市浦东新区雪野世博家园幼儿园,公办幼儿园,浦东大道站路496号,200123,61069303
67,上海市浦东新区百合花幼儿园,公办幼儿园,西泰林路926号,200123,50651808*800
68,上海市浦东新区昌里幼儿园,公办幼儿园,南码头路1621弄37号,200125,50775781
69,上海市浦东新区齐河幼儿园,公办幼儿园,"（总部）昌里东路651弄44号
（彩虹部）浦三路747号",200125,"50777882
50868172"
70,上海市浦东新区红苹果幼儿园,公办幼儿园,"（总部）南码头路1136弄35号甲
（分部）东明路355弄44号",200125,"38840140
68362178"
71,上海市浦东新区天天乐幼儿园,公办幼儿园,"（总部）浦建路211弄13号
（一分部）南泉路1300弄22号
（二分部）南泉路1250弄3号",200127,"58890157
58700606
50890813"
72,上海市浦东新区兰亭幼儿园,公办幼儿园,蓝村路471弄32号,200127,58810248
73,上海市浦东新区塘桥幼儿园,公办幼儿园,"（总部）塘桥路223弄7号
（分部）微山二村22号",200127,58811537
74,上海市浦东新区临沂一村幼儿园,公办幼儿园,临沂一村56号,200125,38810231
75,上海市浦东新区临沂五村幼儿园,公办幼儿园,临沂路381弄30号,200125,58733536
76,上海市浦东新区小天使幼儿园,公办幼儿园,上浦路36弄60号,200124,58499509
77,上海市浦东新区小浪花幼儿园,公办幼儿园,三林镇1466弄83号,200124,50633731
78,上海市浦东新区紫叶幼儿园,公办幼儿园,"（中大班部校区）紫叶路246号
（小班部校区）莲安西路125弄56号",201204,"58440827
68929639"
