序号,学校,类别,地址,邮编,电话
262,上海浦东新区民办浦汇幼儿园,民办幼儿园,奉新公路110号,201314,58172266
263,上海浦东新区民办远航幼儿园,民办幼儿园,普新路688号,201202,
264,上海浦东新区民办永卓幼儿园,民办幼儿园,孙桥路615号,201210,50189737
265,上海浦东新区民办卫亭路幼儿园,民办幼儿园,川南奉公路5468号,201323,
266,上海浦东新区民办金色阳光幼儿园,民办幼儿园,盐朝公路798号,201323,
267,上海浦东新区民办康花幼儿园,民办幼儿园,康桥镇康花新村125号,201315,58125779
268,上海浦东新区民办向日葵世博幼儿园,民办幼儿园,东书房路301、303、305、307号,200125,61063918
269,上海浦东新区民办都市贝贝幼儿园,民办幼儿园,三林镇中林村三林桥队,200123,50188029
270,上海浦东新区民办星苗幼儿园,民办幼儿园,三林路184号,200124,50823816
271,上海浦东新区民办快乐宝贝幼儿园,民办幼儿园,三林镇南阜村瞿弄队,200124,50849008
272,上海浦东新区民办活力宝贝幼儿园,民办幼儿园,下南路355号,200125,58532218
273,上海浦东新区民办兴满幼儿园,民办幼儿园,北蔡镇卫行村张浜队,201204,33707677
274,上海浦东新区民办新童幼儿园,民办幼儿园,周浦镇东南二村94号,201318,58110012
275,上海浦东新区民办爱贝幼儿园,民办幼儿园,周浦镇瓦屑建设路26号 ,201321,58154180
276,上海浦东新区民办星杰幼儿园,民办幼儿园,周浦镇年家浜路444号,201318,68115806
277,上海浦东新区民办喜乐洋洋幼儿园,民办幼儿园,周浦镇川周公路4264号,201318,68128343
278,上海浦东新区民办圣鑫幼儿园,民办幼儿园,川周公路4115号,201318,20960215
279,上海浦东新区民办康桥工友幼儿园,民办幼儿园,横沔老镇河西街2号,201319,68139386
280,上海浦东新区民办凯馨幼儿园,民办幼儿园,航头镇下沙新街105号,201317,58140558
281,上海浦东新区民办咸塘小镇幼儿园,民办幼儿园,沪南路5300号,201317,58228468
282,上海浦东新区民办西山幼儿园,民办幼儿园,航头下沙鹤立西路88弄68号,201317,58146528
